order_id,order_date,customer_id,product_id,product_name,category,quantity,price,revenue,region
af838341-570a-4d93-9a47-537b89778c04,2024-05-02,325.0,1020,Parfum,Beauté,2.0,416.17,,Asie
7848c6d8-9004-4ddc-8bfa-907736ae65f3,2024-01-19,205.0,1003,Tablette,Électronique,2.0,52.52,,Amérique du Nord
83adf678-3cf9-49ab-8e1a-c4ddceccb42d,2022-07-25,515.0,1016,Tapis de Yoga,Sports,1.0,1075.45,,Asiae
c5f9fbb5-05df-4b2a-83cb-fe4b5e7a794f,2023-09-13,395.0,1018,Ballon de Foot,Sports,5.0,14.72,,Amérique du Sud
5bf9572c-612c-4ee4-b7bb-f9130f965432,2024-05-13,412.0,1010,Jean,Vêtements,5.0,1436.03,,Eurpoe
0846c160-ef5f-4bf5-bac6-dd5ac39fa333,2022-09-17,488.0,1012,Robe,Vêtements,2.0,519.21,,Afrique
2342e3cf-fef3-46a6-8998-6696ee44c91c,2022-12-16,276.0,1023,Rouge à Lèvres,Beauté,,1459.81,,Asiae
272b8c13-3543-4e36-9491-e761741ec6de,2022-08-12,373.0,1009,Tapis,Maison,-1.0,1058.33,,Europe
c44a1f4f-4f32-49fd-8fa4-df26840b1d73,2022-08-19,83.0,1024,Shampoing,Beauté,5.0,1283.7,,Amérique du Nord
c524b9e8-037f-4f9f-a887-e3dcf08336a8,2022-06-01,263.0,1014,Pull,Vêtements,-1.0,536.13,,Afrique
35710c9f-768f-4848-8e95-5bf199d6f072,2022-05-28,230.0,1021,Crème Hydratante,Beauté,2.0,260.85,,Asie
798b2df1-1b0f-4f8c-9ff9-5a0d9b2d4832,2024-12-06,554.0,1012,Robe,Vêtements,5.0,961.8,,Asie
e16b49dd-36c4-40fc-8a4f-175ded93a780,2024-04-05,465.0,1024,Shampoing,Beauté,1.0,52.99,,Eurpoe
0de0dc27-4a13-445e-a20c-a4e834e0298b,2023-05-29,12.0,1002,Casque Audio,Électronique,4.0,852.93,,Eurpoe
8fa0aa63-0ccb-4acb-9974-d668581bbef6,2023-02-05,509.0,1015,Vélo,Sports,0.0,966.06,,Amérique du Sud
cc64f107-9f75-477d-83c5-7a7177db1c49,2025-03-28,232.0,1007,Chaise,Maison,5.0,645.51,,Asiae
b75a1c91-a0ff-485c-9aa5-3d0585be3bc5,2025-02-14,219.0,1004,Caméra,Électronique,,75.44,,Amérique du Nord
d51174f8-24e4-4511-8d71-768adbd7234b,2023-11-05,569.0,1005,Canapé,Maison,0.0,580.23,,North America
8050d901-dde3-4ce7-925a-2445a7866c21,2023-03-18,13.0,1017,Raquette de Tennis,Sports,1.0,176.25,,Afrique
4b9dfec1-cb2d-441f-9ed2-09d0d4c952c1,2025-04-04,114.0,1010,Jean,Vêtements,2.0,241.45,,Europe
42b2321b-f0b5-4fac-a398-e4688a547207,2024-04-29,191.0,1023,Rouge à Lèvres,Beauté,5.0,1144.13,,Amérique du Nord
