order_id,order_date,customer_id,product_id,product_name,category,quantity,price,revenue,region,order_year,order_month,order_month_name
af838341-570a-4d93-9a47-537b89778c04,2024-05-02,325,1020,Parfum,Beauté,2.0,416.17,832.34,Asie,2024,5,May
7848c6d8-9004-4ddc-8bfa-907736ae65f3,2024-01-19,205,1003,Tablette,Électronique,2.0,52.52,105.04,Amérique du Nord,2024,1,January
83adf678-3cf9-49ab-8e1a-c4ddceccb42d,2022-07-25,515,1016,Tapis de Yoga,Sports,1.0,1075.45,1075.45,Asie,2022,7,July
c5f9fbb5-05df-4b2a-83cb-fe4b5e7a794f,2023-09-13,395,1018,Ballon de Foot,Sports,5.0,14.72,73.60000000000001,Amérique du Sud,2023,9,September
5bf9572c-612c-4ee4-b7bb-f9130f965432,2024-05-13,412,1010,Jean,Vêtements,5.0,1436.03,7180.15,Europe,2024,5,May
0846c160-ef5f-4bf5-bac6-dd5ac39fa333,2022-09-17,488,1012,Robe,Vêtements,2.0,519.21,1038.42,Afrique,2022,9,September
c44a1f4f-4f32-49fd-8fa4-df26840b1d73,2022-08-19,83,1024,Shampoing,Beauté,5.0,1283.7,6418.5,Amérique du Nord,2022,8,August
35710c9f-768f-4848-8e95-5bf199d6f072,2022-05-28,230,1021,Crème Hydratante,Beauté,2.0,260.85,521.7,Asie,2022,5,May
798b2df1-1b0f-4f8c-9ff9-5a0d9b2d4832,2024-12-06,554,1012,Robe,Vêtements,5.0,961.8,4809.0,Asie,2024,12,December
e16b49dd-36c4-40fc-8a4f-175ded93a780,2024-04-05,465,1024,Shampoing,Beauté,1.0,52.99,52.99,Europe,2024,4,April
0de0dc27-4a13-445e-a20c-a4e834e0298b,2023-05-29,12,1002,Casque Audio,Électronique,4.0,852.93,3411.72,Europe,2023,5,May
cc64f107-9f75-477d-83c5-7a7177db1c49,2025-03-28,232,1007,Chaise,Maison,5.0,645.51,3227.55,Asie,2025,3,March
8050d901-dde3-4ce7-925a-2445a7866c21,2023-03-18,13,1017,Raquette de Tennis,Sports,1.0,176.25,176.25,Afrique,2023,3,March
4b9dfec1-cb2d-441f-9ed2-09d0d4c952c1,2025-04-04,114,1010,Jean,Vêtements,2.0,241.45,482.9,Europe,2025,4,April
42b2321b-f0b5-4fac-a398-e4688a547207,2024-04-29,191,1023,Rouge à Lèvres,Beauté,5.0,1144.13,5720.650000000001,Amérique du Nord,2024,4,April
dfceff81-3055-4e67-839f-8dfe41854d8c,2024-09-23,77,1009,Tapis,Maison,4.0,1144.95,4579.8,Europe,2024,9,September
